Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Label
203	-28.23	-59.99	-11.04	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	Fusiform_R
204	-30.83	-42.37	-11.13	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	Fusiform_R
205	-30.81	-7.27	-31.42	Left Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 20	Fusiform_R
206	-26.68	-49.35	-15.47	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	Fusiform_R
207	-33.68	-29.89	-20.65	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 36	Fusiform_R
208	-27.05	-72.97	-12.44	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	Fusiform_R
209	-37.24	-19.09	-21.96	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 20	Fusiform_R
210	-30.05	2.31	-31.56	Left Cerebrum	Limbic Lobe	Uncus	Gray Matter	Brodmann area 20	Fusiform_R
211	-38.55	-57.82	-17.71	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	Fusiform_R
212	-38.49	-39.47	-18.74	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 20	Fusiform_R
213	38.02	-21.39	10.71	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Heschl_L
214	-43.63	-19.24	9.86	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 13	Heschl_R
215	16.81	-33.08	0.9	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 27	Hippocampus_L
216	26.52	-30.84	-4.3	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 27	Hippocampus_L
217	18.3	-10.48	-13.52	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	Hippocampus_L
218	27.22	-14.42	-11.58	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	Hippocampus_L
219	33.57	-65.25	37.28	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	Angular_L
220	42.53	-61.79	21.99	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	Angular_L
221	37.98	-63.96	33.82	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 39	Angular_L
222	44.3	-56.8	27.82	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 39	Angular_L
223	39.86	-66.52	27.15	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	Angular_L
224	-21.69	-31.08	-0.39	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	*	Hippocampus_R
